epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8015.94,1.30272,0.67553,1.09373,0.82171,0.80624,0.8458,0.62369,1.61703,0.80845,1.21106,0.000396246,0.000396246,0.000396246
79,8118.06,1.28803,0.66851,1.08726,0.83876,0.8013,0.84575,0.62571,1.61793,0.80532,1.21087,0.000379743,0.000379743,0.000379743
80,8220.24,1.28477,0.66568,1.08392,0.83585,0.80148,0.84712,0.62643,1.61554,0.80381,1.20888,0.000363239,0.000363239,0.000363239
81,8324.17,1.28766,0.66819,1.08708,0.8353,0.80868,0.84863,0.62813,1.61865,0.80521,1.21327,0.000346736,0.000346736,0.000346736
82,8427.75,1.27607,0.65998,1.08549,0.84166,0.80915,0.85102,0.62802,1.61919,0.80084,1.21438,0.000330233,0.000330233,0.000330233
83,8531.19,1.28034,0.66468,1.08369,0.8311,0.80806,0.84995,0.62705,1.61895,0.80248,1.21113,0.000313729,0.000313729,0.000313729
84,8634.69,1.27524,0.65355,1.07633,0.83272,0.80529,0.84893,0.62838,1.61501,0.80194,1.21005,0.000297226,0.000297226,0.000297226
85,8737.47,1.27083,0.65848,1.07983,0.84437,0.79894,0.84825,0.62696,1.61832,0.80231,1.21345,0.000280723,0.000280723,0.000280723
86,8840.74,1.25392,0.64753,1.0752,0.84428,0.80489,0.84796,0.62777,1.62304,0.80414,1.21854,0.00026422,0.00026422,0.00026422
87,8943.64,1.26049,0.64827,1.07437,0.84304,0.80083,0.8484,0.62536,1.62664,0.80499,1.22144,0.000247716,0.000247716,0.000247716
88,9046.92,1.25614,0.64791,1.07341,0.83891,0.80538,0.84782,0.62514,1.62695,0.80755,1.22219,0.000231213,0.000231213,0.000231213
89,9149.26,1.24271,0.63777,1.06779,0.83277,0.80743,0.84654,0.62552,1.628,0.80613,1.22186,0.00021471,0.00021471,0.00021471
90,9251.77,1.24411,0.63691,1.06725,0.8403,0.80381,0.847,0.62565,1.62642,0.80409,1.22188,0.000198206,0.000198206,0.000198206
91,9355.72,1.27311,0.62196,1.06212,0.83753,0.80357,0.84576,0.62496,1.62887,0.80892,1.22535,0.000181703,0.000181703,0.000181703
92,9458.42,1.26202,0.61608,1.05517,0.84385,0.8015,0.84558,0.62673,1.6265,0.80568,1.22659,0.0001652,0.0001652,0.0001652
93,9560.87,1.24559,0.60831,1.05266,0.83721,0.80348,0.84725,0.62664,1.62846,0.80623,1.23027,0.000148696,0.000148696,0.000148696
94,9663.88,1.24331,0.60351,1.04839,0.83726,0.80106,0.84632,0.62653,1.63193,0.80905,1.233,0.000132193,0.000132193,0.000132193
95,9766.35,1.23979,0.60065,1.04608,0.83267,0.80582,0.84587,0.62618,1.63323,0.8097,1.23533,0.00011569,0.00011569,0.00011569
96,9868.68,1.22619,0.59256,1.04002,0.83801,0.80638,0.84522,0.62779,1.63187,0.81118,1.23656,9.91865e-05,9.91865e-05,9.91865e-05
97,9971.85,1.22512,0.59391,1.04327,0.84015,0.80268,0.84638,0.62873,1.63251,0.81074,1.2369,8.26832e-05,8.26832e-05,8.26832e-05
98,10075.2,1.2205,0.58742,1.03753,0.84209,0.8,0.84596,0.62858,1.63209,0.80928,1.2356,6.61799e-05,6.61799e-05,6.61799e-05
99,10178.4,1.21874,0.58725,1.03851,0.83792,0.80367,0.84575,0.62871,1.63119,0.80778,1.23542,4.96766e-05,4.96766e-05,4.96766e-05
100,10281.8,1.21468,0.58581,1.03817,0.83666,0.80595,0.84645,0.62873,1.63409,0.80857,1.23803,3.31733e-05,3.31733e-05,3.31733e-05
